"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"  323P/SOHO",0.9848,0.039,5.37,324.23,353.17,5.12,2021-01-17.6,4.15,JFc,1584,2,143,,,,,
"  323P/SOHO-B",0.9843,0.045,5.43,323.70,354.85,5.73,2021-01-17.3,4.91,JFc,1,9,9,,,,,
"  323P/SOHO-C",0.9811,0.049,5.26,324.67,354.65,5.17,2021-01-16.9,4.22,JFc,1,9,9,,,,,
"  324P/La Sagra",0.1538,2.618,21.42,270.65,58.90,3.57,2010-06-22.8,5.44,ETc,4108,0,500,,,,,
"  325P/Yang-Gao",0.6243,1.279,16.33,258.85,347.00,5.53,2009-05-22.4,6.29,JFc,26052,0,1380,,,-2.6e-10,,
"  326P/Hill",0.3169,2.779,2.47,99.81,278.79,5.36,2015-10-22.4,8.21,JFc,12127,1,301,,,-3.2e-09,,
"  327P/Van Ness",0.5628,1.558,36.25,173.97,185.02,5.57,2022-09-02.5,6.73,JFc,7460,0,900,,,-9.8e-11,,
"  328P/LONEOS-Tucker",0.5513,1.886,17.65,341.60,30.63,6.52,2015-12-24.1,8.62,JFc,9572,0,598,,,-3.6e-10,,
"  329P/LINEAR-Catalina",0.6801,1.660,21.47,88.79,342.31,8.72,2015-12-05.2,11.8,JFc,4517,0,685,,,,,
"  330P/Catalina",0.5493,2.970,15.55,294.34,186.72,10.21,2016-08-31.9,16.9,JFc,6358,0,342,,,,,
"  331P/Gibbs",0.0416,2.880,9.74,216.86,177.88,3.13,2015-06-14.9,5.21,ETc,6833,0,183,,,,,
"  332P/Ikeya-Murakami",0.4886,1.579,9.38,3.82,152.43,4.60,2010-10-13.3,5.42,ETc,80,6,385,,,,,
"  332P/Ikeya-Murakami-A",0.4904,1.573,9.39,3.78,152.44,4.60,2016-03-17.2,5.42,ETc,124,4,508,,,,,
"  332P/Ikeya-Murakami-B",0.4898,1.573,9.38,3.80,152.38,4.59,2016-03-17.1,5.41,ETc,68,5,132,,,,,
"  332P/Ikeya-Murakami-C",0.4903,1.573,9.39,3.78,152.43,4.60,2016-03-17.2,5.42,ETc,122,5,479,,,,,
"  332P/Ikeya-Murakami-D",0.4904,1.571,9.38,3.76,152.57,4.60,2016-03-17.4,5.41,ETc,15,7,71,,,,,
"  332P/Ikeya-Murakami-E",0.4906,1.573,9.39,3.78,152.48,4.60,2016-03-17.3,5.43,ETc,47,8,8,,,,,
"  332P/Ikeya-Murakami-F",0.4986,1.583,9.52,3.50,152.78,4.73,2016-03-17.8,5.61,JFc,11,8,20,,,,,
"  332P/Ikeya-Murakami-G",0.4937,1.551,9.27,3.63,154.50,4.58,2016-03-19.6,5.36,ETc,14,8,15,,,,,
"  332P/Ikeya-Murakami-H",0.4904,1.573,9.39,3.78,152.43,4.60,2016-03-17.4,5.42,ETc,53,6,109,,,,,
"  332P/Ikeya-Murakami-I",0.4899,1.573,9.38,3.80,152.37,4.59,2016-03-17.4,5.42,ETc,29,7,19,,,,,
"  333P/LINEAR",0.7361,1.115,131.88,115.57,26.14,7.33,2016-04-03.8,8.68,JFC,6218,0,738,,,-3.7e-12,,
"  334P/NEAT",0.3545,4.188,19.06,92.78,81.09,8.79,2017-05-19.1,16.5,JFc,6316,0,404,,,,,
"  335P/Gibbs",0.5435,1.638,7.28,330.89,162.30,5.54,2009-01-22.3,6.8,JFc,5290,0,430,,2.0e-09,-7.5e-11,,
"  336P/McNaught",0.4529,2.633,18.56,299.24,313.96,6.99,2006-08-18.3,10.6,JFc,7621,1,164,,,,,
"  337P/WISE",0.4969,1.654,15.37,106.08,160.92,4.92,2016-07-13.4,5.96,JFc,4506,0,386,,,,,
"  338P/McNaught",0.4104,2.302,25.35,9.81,4.53,5.51,2016-11-22.0,7.71,JFc,6030,0,828,,2.4e-08,-2.8e-09,,
"  339P/Gibbs",0.6398,1.324,5.75,172.78,27.16,6.03,2009-06-25.9,7.05,JFc,2712,1,141,,,,,
"  340P/Boattini",0.2809,3.047,2.08,291.83,36.02,5.43,2008-02-27.0,8.72,JFc,3836,2,289,,,,,
